components,components_down,current_state,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'ok': True, 'latency_ms': 445.4, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 374.5, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 438.8, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 363.4, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}",['ws_private'],,1.66,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-26 23:15:13
,['ws_private'],,,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-26 23:15:13,,2026-03-26 23:15:13
"{'public': {'ok': True, 'latency_ms': 425.1, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 436.3, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 387.3, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 356.4, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,85.285,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-26 23:16:38
,[],,,85.454,2026-03-26 23:16:38,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-26 23:15:13,,2026-03-26 23:16:38
"{'public': {'ok': True, 'latency_ms': 363.1, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 353.0, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 366.6, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 371.5, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,4.85,,,CONNECTIVITY_STATE_CHANGED,RECOVERING,,,,,,,CONNECTED,2026-03-26 23:16:43
"{'public': {'ok': True, 'latency_ms': 374.0, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 363.5, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 427.2, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 361.7, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}",['ws_private'],,1.573,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-26 23:22:45
,['ws_private'],,,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-26 23:22:45,,2026-03-26 23:22:45
"{'public': {'ok': True, 'latency_ms': 437.8, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 432.4, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 376.0, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 353.1, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,58.526,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-26 23:23:43
,[],,,58.574,2026-03-26 23:23:43,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-26 23:22:45,,2026-03-26 23:23:43
"{'public': {'ok': True, 'latency_ms': 388.4, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 366.3, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 360.7, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 353.2, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,4.87,,,CONNECTIVITY_STATE_CHANGED,RECOVERING,,,,,,,CONNECTED,2026-03-26 23:23:48
