available_after_bans,cache_errors,cache_fetch_count,closed_trades,connectivity_components_down,connectivity_state,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
112,0,0,0,[],CONNECTED,SYSTEM_HEALTH,0.0,0,0,0,112,2026-03-22 19:54:29
112,0,0,0,[],CONNECTED,SYSTEM_HEALTH,3.6428945064544678,0,0,0,112,2026-03-22 19:55:00
112,0,0,0,[],CONNECTED,SYSTEM_HEALTH,4.417787075042725,0,0,0,112,2026-03-22 19:56:05
112,1,223,0,[],RECOVERING,SYSTEM_HEALTH,1.2729430198669434,0,0,0,112,2026-03-22 19:57:03
112,1,402,0,[],CONNECTED,SYSTEM_HEALTH,6.0934977531433105,0,0,0,112,2026-03-22 19:58:07
112,1,402,0,[],CONNECTED,SYSTEM_HEALTH,5.653551816940308,0,0,0,112,2026-03-22 19:59:03
112,1,586,0,[],CONNECTED,SYSTEM_HEALTH,8.959657907485962,0,0,0,112,2026-03-22 20:00:06
112,1,761,0,[],CONNECTED,SYSTEM_HEALTH,8.566469430923462,0,0,0,112,2026-03-22 20:01:13
112,2,937,0,[],CONNECTED,SYSTEM_HEALTH,4.266935110092163,0,0,0,112,2026-03-22 20:02:06
112,2,937,0,[],CONNECTED,SYSTEM_HEALTH,5.364738702774048,0,0,0,112,2026-03-22 20:03:07
112,2,1102,0,[],CONNECTED,SYSTEM_HEALTH,7.771804094314575,0,0,0,112,2026-03-22 20:04:04
112,2,1265,0,[],CONNECTED,SYSTEM_HEALTH,5.03882098197937,0,0,0,112,2026-03-22 20:05:01
111,2,1594,0,[],CONNECTED,SYSTEM_HEALTH,5.03882098197937,2,0,4,112,2026-03-22 20:06:30
111,2,1755,0,[],CONNECTED,SYSTEM_HEALTH,91.54201865196228,3,0,2,112,2026-03-22 20:08:32
111,2,1942,1,[],CONNECTED,SYSTEM_HEALTH,91.54201865196228,2,0,2,112,2026-03-22 20:09:28
111,2,2289,1,[],CONNECTED,SYSTEM_HEALTH,172.6618480682373,3,0,2,112,2026-03-22 20:11:28
