action,atr,attempt,cancelled_algo_id,current_price,event,exchange_stop_algo_id,exchange_stop_price,exchange_stop_status,fill_price,inst_id,local_reason,new_stop,old_exchange_stop,old_strategy_stop,operation,qty,reason,requested_stop,response,response_code,side,slippage_abs,strategy_stop_price,trade_id,trigger_price,ts
,0.0008149999999999991,1,,,STOP_PLACED,3394634592328957952,0.0832187383045095,active,,CELO-USDT-SWAP,,,,,,3527.0,initial_turtle_stop,0.0832187383045095,,0,long,,0.0832187383045095,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:14
,9.200000000000042e-05,1,,,STOP_PLACED,3394634670074576896,0.029476,active,,LRC-USDT-SWAP,,,,,,4000.0,initial_turtle_stop,0.029476,,0,long,,0.029476,20260316_171316_LRC-USDT-SWAP_long,,2026-03-16 17:13:17
place_missing_stop,0.000316,,,0.00182,STOP_MISSING,,0.0,,,RAVE-USDT-SWAP,,,,,,18820.0,manage_open_positions,,,,short,,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,,2026-03-16 17:13:17
,0.000316,1,,,STOP_PLACED,3394634695441727488,0.0029317787153212,active,,RAVE-USDT-SWAP,,,,,,18820.0,missing_stop_recovery,0.0029317787153212,,0,short,,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,,2026-03-16 17:13:17
place_missing_stop,4.011999999999995,,,430.72,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,260.0,manage_open_positions,,,,short,,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,,2026-03-16 17:13:18
,4.011999999999995,,,430.72,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,260.0,market_already_crossed_stop,381.1648016032064,,,short,,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,,2026-03-16 17:13:18
,4.011999999999995,,,430.72,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,260.0,market_already_crossed_stop,381.1648016032064,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,,2026-03-16 17:13:18
,4.011999999999995,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,430.72,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,260.0,,,,,short,-49.55519839679363,381.1648016032064,20260316_171238_TSLA-USDT-SWAP_short,381.1648016032064,2026-03-16 17:13:18
place_missing_stop,7.900000000000059e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,,2026-03-16 17:13:19
,7.900000000000059e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028506093294466,,,short,,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,,2026-03-16 17:13:19
,7.900000000000059e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028506093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,,2026-03-16 17:13:19
,7.900000000000059e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,,,,9507.0,,,,,short,-0.001199390670553399,0.1028506093294466,20260316_171239_CRO-USDT-SWAP_short,0.1028506093294466,2026-03-16 17:13:19
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171239_BREV-USDT-SWAP_long,,2026-03-16 17:13:20
,1.9999999999997796e-05,1,,,STOP_PLACED,3394634797145210880,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171239_BREV-USDT-SWAP_long,,2026-03-16 17:13:20
,1.9999999999997796e-05,,3394634797145210880,,STOP_CANCELLED,3394634797145210880,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,pre_close:Защита тренда: откат от пика 1027.38R → 102.38R,,,,long,,1.0088649966666678,20260316_171239_BREV-USDT-SWAP_long,,2026-03-16 17:13:21
,0.0008149999999999991,,3394634592328957952,,STOP_CANCELLED,3394634592328957952,0.0832187383045095,active,,CELO-USDT-SWAP,,,,,,3527.0,replace:unit_added,,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:23
,0.0008149999999999991,,,0.0848487383045095,STOP_REJECTED,,0.0,rejected_market_crossed,,CELO-USDT-SWAP,,,,,place_stop,3527.0,market_already_crossed_stop,0.16973822660901897,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:23
,0.0008149999999999991,,,0.0848487383045095,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,,,,3527.0,market_already_crossed_stop,0.16973822660901897,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:13:23
place_missing_stop,0.0008149999999999991,,,0.0821,STOP_MISSING,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,,,,4314.0,manage_open_positions,,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:14:04
,0.0008149999999999991,,,0.0821,STOP_REJECTED,,0.0,rejected_market_crossed,,CELO-USDT-SWAP,,,,,place_stop,4314.0,market_already_crossed_stop,0.16973822660901897,,,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:14:04
,0.0008149999999999991,,,0.0821,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,,,,4314.0,market_already_crossed_stop,0.16973822660901897,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,long,,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,,2026-03-16 17:14:04
,0.0008149999999999991,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.0821,CELO-USDT-SWAP,market_already_crossed_stop,,,,,4314.0,,,,,long,-0.08763822660901896,0.16973822660901897,20260316_171314_CELO-USDT-SWAP_long,0.16973822660901897,2026-03-16 17:14:04
place_missing_stop,4.011999999999995,,,433.4,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,260.0,manage_open_positions,,,,short,,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,,2026-03-16 17:14:09
,4.011999999999995,,,433.4,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,260.0,market_already_crossed_stop,381.1648016032064,,,short,,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,,2026-03-16 17:14:09
,4.011999999999995,,,433.4,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,260.0,market_already_crossed_stop,381.1648016032064,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,,2026-03-16 17:14:09
,4.011999999999995,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,433.4,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,260.0,,,,,short,-52.23519839679358,381.1648016032064,20260316_171329_TSLA-USDT-SWAP_short,381.1648016032064,2026-03-16 17:14:09
place_missing_stop,7.900000000000059e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028506093294466,20260316_171330_CRO-USDT-SWAP_short,,2026-03-16 17:14:10
,7.900000000000059e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028506093294466,,,short,,0.1028506093294466,20260316_171330_CRO-USDT-SWAP_short,,2026-03-16 17:14:10
,7.900000000000059e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028506093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028506093294466,20260316_171330_CRO-USDT-SWAP_short,,2026-03-16 17:14:10
,7.900000000000059e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,,,,9507.0,,,,,short,-0.001199390670553399,0.1028506093294466,20260316_171330_CRO-USDT-SWAP_short,0.1028506093294466,2026-03-16 17:14:10
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171330_BREV-USDT-SWAP_long,,2026-03-16 17:14:11
,1.9999999999997796e-05,1,,,STOP_PLACED,3394636490201186304,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171330_BREV-USDT-SWAP_long,,2026-03-16 17:14:11
,1.9999999999997796e-05,,3394636490201186304,,STOP_CANCELLED,3394636490201186304,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,pre_close:Защита тренда: откат от пика 984.88R → 102.38R,,,,long,,1.0088649966666678,20260316_171330_BREV-USDT-SWAP_long,,2026-03-16 17:14:11
place_missing_stop,0.0008149999999999991,,,0.0789,STOP_MISSING,,0.0,,,CELO-USDT-SWAP,,,,,,11430.0,manage_open_positions,,,,long,,0.0839087196398664,20260316_171418_CELO-USDT-SWAP_long,,2026-03-16 17:14:54
,0.0008149999999999991,,,0.0789,STOP_REJECTED,,0.0,rejected_market_crossed,,CELO-USDT-SWAP,,,,,place_stop,11430.0,market_already_crossed_stop,0.0839087196398664,,,long,,0.0839087196398664,20260316_171418_CELO-USDT-SWAP_long,,2026-03-16 17:14:54
,0.0008149999999999991,,,0.0789,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CELO-USDT-SWAP,,,,,,11430.0,market_already_crossed_stop,0.0839087196398664,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,long,,0.0839087196398664,20260316_171418_CELO-USDT-SWAP_long,,2026-03-16 17:14:54
,0.0008149999999999991,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.0789,CELO-USDT-SWAP,market_already_crossed_stop,,,,,11430.0,,,,,long,-0.005008719639866405,0.0839087196398664,20260316_171418_CELO-USDT-SWAP_long,0.0839087196398664,2026-03-16 17:14:54
place_missing_stop,4.011999999999995,,,436.09,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,118.0,manage_open_positions,,,,short,,381.1648016032064,20260316_171418_TSLA-USDT-SWAP_short,,2026-03-16 17:14:55
,4.011999999999995,,,436.09,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,118.0,market_already_crossed_stop,381.1648016032064,,,short,,381.1648016032064,20260316_171418_TSLA-USDT-SWAP_short,,2026-03-16 17:14:55
,4.011999999999995,,,436.09,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,118.0,market_already_crossed_stop,381.1648016032064,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,381.1648016032064,20260316_171418_TSLA-USDT-SWAP_short,,2026-03-16 17:14:55
,4.011999999999995,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,436.09,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,118.0,,,,,short,-54.925198396793576,381.1648016032064,20260316_171418_TSLA-USDT-SWAP_short,381.1648016032064,2026-03-16 17:14:55
place_missing_stop,7.900000000000059e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028506093294466,20260316_171418_CRO-USDT-SWAP_short,,2026-03-16 17:14:56
,7.900000000000059e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028506093294466,,,short,,0.1028506093294466,20260316_171418_CRO-USDT-SWAP_short,,2026-03-16 17:14:56
,7.900000000000059e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028506093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028506093294466,20260316_171418_CRO-USDT-SWAP_short,,2026-03-16 17:14:56
,7.900000000000059e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,,,,9507.0,,,,,short,-0.001199390670553399,0.1028506093294466,20260316_171418_CRO-USDT-SWAP_short,0.1028506093294466,2026-03-16 17:14:56
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171419_BREV-USDT-SWAP_long,,2026-03-16 17:14:57
,1.9999999999997796e-05,1,,,STOP_PLACED,3394638049106542592,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171419_BREV-USDT-SWAP_long,,2026-03-16 17:14:57
,1.9999999999997796e-05,,3394638049106542592,,STOP_CANCELLED,3394638049106542592,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,pre_close:Защита тренда: откат от пика 997.38R → 102.38R,,,,long,,1.0088649966666678,20260316_171419_BREV-USDT-SWAP_long,,2026-03-16 17:14:58
,4.050000000000045,1,,,STOP_PLACED,3394639442655657984,3439.9,active,,YFI-USDT-SWAP,,,,,,3757.0,initial_turtle_stop,3439.9,,0,long,,3439.9,20260316_171538_YFI-USDT-SWAP_long,,2026-03-16 17:15:39
,0.002915000000000001,1,,,STOP_PLACED,3394639505838653440,1.86217,active,,NEAR-USDT-SWAP,,,,,,68.5,initial_turtle_stop,1.86217,,0,long,,1.86217,20260316_171540_NEAR-USDT-SWAP_long,,2026-03-16 17:15:41
,0.00122000000000001,1,,,STOP_PLACED,3394639569290084352,1.44316,active,,XRP-USDT-SWAP,,,,,,8.75,initial_turtle_stop,1.44316,,0,long,,1.44316,20260316_171542_XRP-USDT-SWAP_long,,2026-03-16 17:15:43
place_missing_stop,4.850499999999994,,,438.77,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,114.0,manage_open_positions,,,,short,,382.84180160320636,20260316_171504_TSLA-USDT-SWAP_short,,2026-03-16 17:15:49
,4.850499999999994,,,438.77,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,114.0,market_already_crossed_stop,382.84180160320636,,,short,,382.84180160320636,20260316_171504_TSLA-USDT-SWAP_short,,2026-03-16 17:15:49
,4.850499999999994,,,438.77,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,114.0,market_already_crossed_stop,382.84180160320636,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,382.84180160320636,20260316_171504_TSLA-USDT-SWAP_short,,2026-03-16 17:15:49
,4.850499999999994,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,438.77,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,114.0,,,,,short,-55.92819839679362,382.84180160320636,20260316_171504_TSLA-USDT-SWAP_short,382.84180160320636,2026-03-16 17:15:49
place_missing_stop,7.650000000000018e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028456093294466,20260316_171504_CRO-USDT-SWAP_short,,2026-03-16 17:15:50
,7.650000000000018e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028456093294466,,,short,,0.1028456093294466,20260316_171504_CRO-USDT-SWAP_short,,2026-03-16 17:15:50
,7.650000000000018e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028456093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028456093294466,20260316_171504_CRO-USDT-SWAP_short,,2026-03-16 17:15:50
,7.650000000000018e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,,,,9507.0,,,,,short,-0.001204390670553404,0.1028456093294466,20260316_171504_CRO-USDT-SWAP_short,0.1028456093294466,2026-03-16 17:15:50
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171505_BREV-USDT-SWAP_long,,2026-03-16 17:15:52
,1.9999999999997796e-05,1,,,STOP_PLACED,3394639896311578624,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171505_BREV-USDT-SWAP_long,,2026-03-16 17:15:52
,1.9999999999997796e-05,,3394639896311578624,,STOP_CANCELLED,3394639896311578624,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,pre_close:Защита тренда: откат от пика 1027.38R → 102.38R,,,,long,,1.0088649966666678,20260316_171505_BREV-USDT-SWAP_long,,2026-03-16 17:15:53
,0.002915000000000001,1,,,STOP_PLACED,3394641276539584512,1.86217,active,,NEAR-USDT-SWAP,,,,,,66.9,initial_turtle_stop,1.86217,,0,long,,1.86217,20260316_171633_NEAR-USDT-SWAP_long,,2026-03-16 17:16:34
place_missing_stop,4.850499999999994,,,441.45,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,109.0,manage_open_positions,,,,short,,382.84180160320636,20260316_171601_TSLA-USDT-SWAP_short,,2026-03-16 17:16:47
,4.850499999999994,,,441.45,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,109.0,market_already_crossed_stop,382.84180160320636,,,short,,382.84180160320636,20260316_171601_TSLA-USDT-SWAP_short,,2026-03-16 17:16:47
,4.850499999999994,,,441.45,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,109.0,market_already_crossed_stop,382.84180160320636,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,382.84180160320636,20260316_171601_TSLA-USDT-SWAP_short,,2026-03-16 17:16:47
,4.850499999999994,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,441.45,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,109.0,,,,,short,-58.608198396793625,382.84180160320636,20260316_171601_TSLA-USDT-SWAP_short,382.84180160320636,2026-03-16 17:16:47
place_missing_stop,7.650000000000018e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028456093294466,20260316_171601_CRO-USDT-SWAP_short,,2026-03-16 17:16:48
,7.650000000000018e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028456093294466,,,short,,0.1028456093294466,20260316_171601_CRO-USDT-SWAP_short,,2026-03-16 17:16:48
,7.650000000000018e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028456093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028456093294466,20260316_171601_CRO-USDT-SWAP_short,,2026-03-16 17:16:48
,7.650000000000018e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,,,,9507.0,,,,,short,-0.001204390670553404,0.1028456093294466,20260316_171601_CRO-USDT-SWAP_short,0.1028456093294466,2026-03-16 17:16:48
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171602_BREV-USDT-SWAP_long,,2026-03-16 17:16:49
,1.9999999999997796e-05,1,,,STOP_PLACED,3394641806632501248,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171602_BREV-USDT-SWAP_long,,2026-03-16 17:16:49
,1.9999999999997796e-05,,3394641806632501248,,STOP_CANCELLED,3394641806632501248,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,pre_close:Защита тренда: откат от пика 1014.88R → 102.38R,,,,long,,1.0088649966666678,20260316_171602_BREV-USDT-SWAP_long,,2026-03-16 17:16:50
,0.002915000000000001,1,,,STOP_PLACED,3394643138273689600,1.86217,active,,NEAR-USDT-SWAP,,,,,,66.1,initial_turtle_stop,1.86217,,0,long,,1.86217,20260316_171728_NEAR-USDT-SWAP_long,,2026-03-16 17:17:29
place_missing_stop,4.850499999999994,,,444.83,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,109.0,manage_open_positions,,,,short,,382.84180160320636,20260316_171657_TSLA-USDT-SWAP_short,,2026-03-16 17:17:42
,4.850499999999994,,,444.83,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,109.0,market_already_crossed_stop,382.84180160320636,,,short,,382.84180160320636,20260316_171657_TSLA-USDT-SWAP_short,,2026-03-16 17:17:42
,4.850499999999994,,,444.83,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,109.0,market_already_crossed_stop,382.84180160320636,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,382.84180160320636,20260316_171657_TSLA-USDT-SWAP_short,,2026-03-16 17:17:42
,4.850499999999994,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,444.83,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,109.0,,,,,short,-61.98819839679362,382.84180160320636,20260316_171657_TSLA-USDT-SWAP_short,382.84180160320636,2026-03-16 17:17:42
place_missing_stop,7.650000000000018e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028456093294466,20260316_171657_CRO-USDT-SWAP_short,,2026-03-16 17:17:44
,7.650000000000018e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028456093294466,,,short,,0.1028456093294466,20260316_171657_CRO-USDT-SWAP_short,,2026-03-16 17:17:44
,7.650000000000018e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028456093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028456093294466,20260316_171657_CRO-USDT-SWAP_short,,2026-03-16 17:17:44
,7.650000000000018e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10405,CRO-USDT-SWAP,market_already_crossed_stop,,,,,9507.0,,,,,short,-0.001204390670553404,0.1028456093294466,20260316_171657_CRO-USDT-SWAP_short,0.1028456093294466,2026-03-16 17:17:44
place_missing_stop,1.9999999999997796e-05,,,1.013,STOP_MISSING,,0.0,,,BREV-USDT-SWAP,,,,,,120000.0,manage_open_positions,,,,long,,1.0088649966666678,20260316_171658_BREV-USDT-SWAP_long,,2026-03-16 17:17:45
,1.9999999999997796e-05,1,,,STOP_PLACED,3394643682694348800,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,missing_stop_recovery,1.0088649966666678,,0,long,,1.0088649966666678,20260316_171658_BREV-USDT-SWAP_long,,2026-03-16 17:17:45
,1.9999999999997796e-05,,3394643682694348800,,STOP_CANCELLED,3394643682694348800,1.0088649966666678,active,,BREV-USDT-SWAP,,,,,,120000.0,pre_close:Защита тренда: откат от пика 1014.88R → 102.38R,,,,long,,1.0088649966666678,20260316_171658_BREV-USDT-SWAP_long,,2026-03-16 17:17:46
,0.002915000000000001,1,,,STOP_PLACED,3394645009503698944,1.86217,active,,NEAR-USDT-SWAP,,,,,,65.4,initial_turtle_stop,1.86217,,0,long,,1.86217,20260316_171824_NEAR-USDT-SWAP_long,,2026-03-16 17:18:25
place_missing_stop,4.850499999999994,,,448.16,STOP_MISSING,,0.0,,,TSLA-USDT-SWAP,,,,,,107.0,manage_open_positions,,,,short,,382.84180160320636,20260316_171753_TSLA-USDT-SWAP_short,,2026-03-16 17:18:38
,4.850499999999994,,,448.16,STOP_REJECTED,,0.0,rejected_market_crossed,,TSLA-USDT-SWAP,,,,,place_stop,107.0,market_already_crossed_stop,382.84180160320636,,,short,,382.84180160320636,20260316_171753_TSLA-USDT-SWAP_short,,2026-03-16 17:18:38
,4.850499999999994,,,448.16,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,TSLA-USDT-SWAP,,,,,,107.0,market_already_crossed_stop,382.84180160320636,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,382.84180160320636,20260316_171753_TSLA-USDT-SWAP_short,,2026-03-16 17:18:38
,4.850499999999994,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,448.16,TSLA-USDT-SWAP,market_already_crossed_stop,,,,,107.0,,,,,short,-65.31819839679366,382.84180160320636,20260316_171753_TSLA-USDT-SWAP_short,382.84180160320636,2026-03-16 17:18:38
place_missing_stop,7.650000000000018e-05,,,0.10405,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,,,,9507.0,manage_open_positions,,,,short,,0.1028456093294466,20260316_171753_CRO-USDT-SWAP_short,,2026-03-16 17:18:40
,7.650000000000018e-05,,,0.10405,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,,,,place_stop,9507.0,market_already_crossed_stop,0.1028456093294466,,,short,,0.1028456093294466,20260316_171753_CRO-USDT-SWAP_short,,2026-03-16 17:18:40
,7.650000000000018e-05,,,0.10405,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,,,,9507.0,market_already_crossed_stop,0.1028456093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028456093294466,20260316_171753_CRO-USDT-SWAP_short,,2026-03-16 17:18:40
