breakout_id,cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0867,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0867,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,AAVE-USDT-SWAP,95.14,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,AAVE-USDT-SWAP,95.14,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ACT-USDT-SWAP,0.01181,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ACT-USDT-SWAP,0.01181,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ADA-USDT-SWAP,0.2404,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ADA-USDT-SWAP,0.2404,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05595,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05595,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ARB-USDT-SWAP,0.0888,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ARB-USDT-SWAP,0.0888,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6583,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6583,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ATOM-USDT-SWAP,1.64,False,,False,long,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,ATOM-USDT-SWAP,1.64,False,,False,short,30m,2026-03-29 22:43:23
,False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.406,False,,False,long,30m,2026-03-29 22:43:24
,False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.406,False,,False,short,30m,2026-03-29 22:43:24
,False,reentry_check,True,ok,AVAX-USDT-SWAP,9.48,False,,False,long,30m,2026-03-29 22:43:24
,False,reentry_check,True,ok,AVAX-USDT-SWAP,9.48,False,,False,short,30m,2026-03-29 22:43:24
,False,reentry_check,True,ok,AXS-USDT-SWAP,1.1209,False,,False,long,30m,2026-03-29 22:43:25
,False,reentry_check,True,ok,AXS-USDT-SWAP,1.1209,False,,False,short,30m,2026-03-29 22:43:25
,False,reentry_check,True,ok,BCH-USDT-SWAP,453.7,False,,False,long,30m,2026-03-29 22:43:26
,False,reentry_check,True,ok,BCH-USDT-SWAP,453.7,False,,False,short,30m,2026-03-29 22:43:26
,False,reentry_check,True,ok,BIO-USDT-SWAP,0.01564,False,,False,long,30m,2026-03-29 22:43:26
,False,reentry_check,True,ok,BIO-USDT-SWAP,0.01564,False,,False,short,30m,2026-03-29 22:43:26
,False,reentry_check,True,ok,BNB-USDT-SWAP,609.3,False,,False,long,30m,2026-03-29 22:43:27
,False,reentry_check,True,ok,BNB-USDT-SWAP,609.3,False,,False,short,30m,2026-03-29 22:43:27
,False,reentry_check,True,ok,BOME-USDT-SWAP,0.000366,False,,False,long,30m,2026-03-29 22:43:28
,False,reentry_check,True,ok,BOME-USDT-SWAP,0.000366,False,,False,short,30m,2026-03-29 22:43:28
,False,reentry_check,True,ok,BRETT-USDT-SWAP,0.0059,False,,False,long,30m,2026-03-29 22:43:28
,False,reentry_check,True,ok,BRETT-USDT-SWAP,0.0059,False,,False,short,30m,2026-03-29 22:43:28
,False,reentry_check,True,ok,BTC-USDT-SWAP,66378.0,False,,False,long,30m,2026-03-29 22:43:28
,False,reentry_check,True,ok,BTC-USDT-SWAP,66378.0,False,,False,short,30m,2026-03-29 22:43:28
,False,reentry_check,True,ok,CAT-USDT-SWAP,1.551e-06,False,,False,long,30m,2026-03-29 22:43:29
,False,reentry_check,True,ok,CAT-USDT-SWAP,1.551e-06,False,,False,short,30m,2026-03-29 22:43:29
,False,reentry_check,True,ok,CATI-USDT-SWAP,0.0526,False,,False,long,30m,2026-03-29 22:43:29
,False,reentry_check,True,ok,CATI-USDT-SWAP,0.0526,False,,False,short,30m,2026-03-29 22:43:29
,,reentry_check,True,scan,CATI-USDT-SWAP,0.0526,False,0.0,,scan,30m,2026-03-29 22:43:29
,False,reentry_check,True,ok,CELO-USDT-SWAP,0.0732,False,,False,long,30m,2026-03-29 22:43:30
,False,reentry_check,True,ok,CELO-USDT-SWAP,0.0732,False,,False,short,30m,2026-03-29 22:43:30
