atr,avg_entry_price,event_type,inst_id,mae_pct,mfe_pct,next_unit_level,pnl_pct,pnl_usd,position_age_sec,price,qty_total,reason,reason_code,side,stop_price,timestamp,trade_id,units
0.0,0.0,session_start,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,unknown,,0.0,2026-03-29 22:43:14,,0
0.0007279999999999967,0.0,OPEN,XLM-USDT-SWAP,0.0,0.0,0.0,0.0,0.0,0,0.16393,172.28,Первичный вход + bootstrap-stop,unknown,short,0.17212,2026-03-29 22:44:11,20260329_224411_XLM-USDT-SWAP_short,1
0.0007279999999999967,0.16393,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,0.0,0.0,0,0.16393,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:44:11,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,0.0,OPEN,XRP-USDT-SWAP,0.0,0.0,0.0,0.0,0.0,0,1.3167,21.29,Первичный вход + bootstrap-stop,unknown,short,1.375,2026-03-29 22:44:13,20260329_224413_XRP-USDT-SWAP_short,1
0.0,0.0,CLOSE_MISSING_ON_EXCHANGE,XRP-USDT-SWAP,0.0,0.0,0.0,0.0,0.0,0,1.3167,21.29,SYNC recheck during entry recovery: PENDING_RECHECK,sync_recheck_during_entry_recovery:_pending_recheck,short,1.375,2026-03-29 22:44:16,20260329_224413_XRP-USDT-SWAP_short,1
0.0007279999999999967,0.16392029719062,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,-0.01812027545646721,-0.5117199999986405,54,0.16395,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:45:05,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,1.3167,SNAPSHOT,XRP-USDT-SWAP,0.0,0.0,1.3144475,-0.045568466621093186,-1.2773999999998593,52,1.3173,21.29,Минутный snapshot позиции,,short,1.375,2026-03-29 22:45:05,20260329_224413_XRP-USDT-SWAP_short,1
0.0007279999999999967,0.16392029719062,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,-0.01812027545646721,-0.5117199999986405,128,0.16395,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:46:19,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,1.3167,SNAPSHOT,XRP-USDT-SWAP,0.0,0.0,1.3144475,-0.045568466621093186,-1.2773999999998593,126,1.3173,21.29,Минутный snapshot позиции,,short,1.375,2026-03-29 22:46:19,20260329_224413_XRP-USDT-SWAP_short,1
0.0007279999999999967,0.16392029719062,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,-0.06082395596443077,-1.717679999998412,175,0.16402,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:47:06,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,1.3167,SNAPSHOT,XRP-USDT-SWAP,0.0,0.0,1.3144475,-0.037973722184244316,-1.0644999999998828,173,1.3172,21.29,Минутный snapshot позиции,,short,1.375,2026-03-29 22:47:06,20260329_224413_XRP-USDT-SWAP_short,1
0.0007279999999999967,0.16392029719062,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,-0.10962816225925352,-3.095919999998356,251,0.1641,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:48:22,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,1.3167,SNAPSHOT,XRP-USDT-SWAP,0.0,0.0,1.3144475,-0.06835269993165664,-1.9161000000002617,249,1.3176,21.29,Минутный snapshot позиции,,short,1.375,2026-03-29 22:48:22,20260329_224413_XRP-USDT-SWAP_short,1
0.0007279999999999967,0.16392029719062,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,-0.09742711068555207,-2.7513599999984897,301,0.16408,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:49:12,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,1.3167,SNAPSHOT,XRP-USDT-SWAP,0.0,0.0,1.3144475,-0.08354218880535436,-2.341900000000215,299,1.3178,21.29,Минутный snapshot позиции,,short,1.375,2026-03-29 22:49:12,20260329_224413_XRP-USDT-SWAP_short,1
0.0007279999999999967,0.16392029719062,SNAPSHOT,XLM-USDT-SWAP,0.0,0.0,0.163566,-0.06082395596443077,-1.717679999998412,366,0.16402,172.28,Минутный snapshot позиции,,short,0.17212,2026-03-29 22:50:17,20260329_224411_XLM-USDT-SWAP_short,1
0.004504999999999981,1.3167,SNAPSHOT,XRP-USDT-SWAP,0.0,0.0,1.3144475,-0.037973722184244316,-1.0644999999998828,364,1.3172,21.29,Минутный snapshot позиции,,short,1.375,2026-03-29 22:50:17,20260329_224413_XRP-USDT-SWAP_short,1
