atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
0.00465,2.365591,1.0,1.870801,4.344,12.688172,0.860215,1.870801,4.403,4.344,minimal,4.33530077,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 55,5m,2026-03-22 20:05:12
0.0039,1.538462,1.0,2.051282,2.965,6.666667,2.051282,2.051282,2.991,2.965,minimal,2.957,breakout_quality,True,INJ-USDT-SWAP,short,Turtle 20,5m,2026-03-22 20:05:15
8.5e-05,1.176471,1.0,2.718191,0.0974,11.764706,1.176471,2.718191,0.0984,0.0974,minimal,0.09716895,breakout_quality,True,ENA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 20:06:49
8.5e-05,1.176471,1.0,0.91943,0.0974,11.764706,1.176471,0.91943,0.0984,0.0974,minimal,0.09732185,breakout_quality,True,ENA-USDT-SWAP,short,Turtle 55,5m,2026-03-22 20:09:47
0.00141,0.425532,0.666667,0.991905,1.2884,3.829787,0.35461,0.991905,1.2884,1.283,minimal,1.28979859,breakout_quality,True,NEAR-USDT-SWAP,long,Turtle 20,5m,2026-03-22 20:20:09
0.000285,1.052632,0.6,0.528798,0.1156,2.45614,0.350877,0.528798,0.1163,0.1156,minimal,0.11544929,breakout_quality,True,OP-USDT-SWAP,short,Turtle 20,5m,2026-03-22 20:25:12
0.00385,1.818182,0.7,1.615197,4.676,3.636364,0.25974,1.615197,4.69,4.676,minimal,4.66978149,breakout_quality,True,AUCTION-USDT-SWAP,short,Turtle 20,5m,2026-03-22 20:25:37
5.3e-05,1.886792,1.0,1.132075,0.05832,6.037736,1.132075,1.132075,0.05864,0.05832,minimal,0.05826,breakout_quality,True,IOTA-USDT-SWAP,short,Turtle 20,5m,2026-03-22 20:25:40
0.00405,0.246914,0.142857,0.740741,2.952,9.62963,0.246914,0.740741,2.991,2.952,minimal,2.949,breakout_quality,True,INJ-USDT-SWAP,short,Turtle 55,5m,2026-03-22 21:05:31
0.0012585,1.668653,0.954545,0.135081,0.91847,5.903854,0.135081,0.135081,0.9259,0.91847,minimal,0.9183,breakout_quality,True,SUI-USDT-SWAP,short,Turtle 55,5m,2026-03-22 21:05:34
0.1265,1.73913,1.0,1.659956,107.0,2.766798,1.73913,1.659956,107.35,107.0,minimal,106.79001557,breakout_quality,True,AAVE-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:37
0.00195,2.666667,1.0,0.410256,1.2845,4.051282,0.410256,0.410256,1.2924,1.2845,minimal,1.2837,breakout_quality,True,NEAR-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:40
0.0111,0.630631,0.5,0.27027,8.761,2.792793,0.630631,0.27027,8.792,8.761,minimal,8.758,breakout_quality,True,LINK-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:43
4e-08,1.538462,1.0,0.769231,2.85e-05,3.333333,0.769231,0.769231,2.863e-05,2.85e-05,minimal,2.847e-05,breakout_quality,True,FLOKI-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:46
0.00086,1.046512,0.75,0.697674,0.5573,2.790698,0.581395,0.697674,0.5597,0.5573,minimal,0.5567,breakout_quality,True,ETHFI-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:49
0.00145,2.068966,1.0,0.689655,0.872,4.827586,0.689655,0.689655,0.879,0.872,minimal,0.871,breakout_quality,True,FIL-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:52
0.041,1.463415,1.0,0.973552,54.03,2.926829,0.731707,0.973552,54.15,54.03,minimal,53.99008439,breakout_quality,True,LTC-USDT-SWAP,short,Turtle 20,5m,2026-03-22 21:05:56
0.0036,1.111111,1.0,3.722549,4.335,12.777778,0.277778,3.722549,4.381,4.335,minimal,4.32159883,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 55,5m,2026-03-22 21:36:01
0.00145,2.068966,0.75,1.37931,0.871,5.517241,1.37931,1.37931,0.879,0.871,minimal,0.869,breakout_quality,True,FIL-USDT-SWAP,short,Turtle 55,5m,2026-03-22 21:36:04
0.0002,2.05,0.788462,1.233776,0.15709,12.65,1.05,1.233776,0.15962,0.15709,minimal,0.15684324,breakout_quality,True,XLM-USDT-SWAP,short,Turtle 55,5m,2026-03-22 21:36:07
